Sample_ID;Sample_Type;type;control_type;Sample;Sample_pla;Replicate
P02-rep1;positive_control;control;positive;P02;P02;1
P03-rep1;positive_control;control;positive;P03;P03;1
P04-rep1;positive_control;control;positive;P04;P04;1
P05-rep1;positive_control;control;positive;P05;P05;1
P06-rep1;positive_control;control;positive;P06;P06;1
P07-rep1;positive_control;control;positive;P07;P07;1
P08-rep1;positive_control;control;positive;P08;P08;1
117-rep2;sample;sample;NA;117;L9_0.45_Nov22;2
118-rep2;sample;sample;NA;118;L10_0.45_Nov22;2
119-rep2;sample;sample;NA;119;L11_0.45_Nov22;2
120-rep2;sample;sample;NA;120;L12_0.45_Nov22;2
121-rep2;sample;sample;NA;121;L1_0.45_Dec22;2
122-rep2;sample;sample;NA;122;L2_0.45_Dec22;2
123-rep2;sample;sample;NA;123;L3_0.45_Dec22;2
124-rep2;sample;sample;NA;124;L4_0.45_Dec22;2
125-rep2;sample;sample;NA;125;L5_0.45_Dec22;2
126-rep2;sample;sample;NA;126;L6_0.45_Dec22;2
127-rep2;sample;sample;NA;127;L7_0.45_Dec22;2
128-rep2;sample;sample;NA;128;L8_0.45_Dec22;2
129-rep2;sample;sample;NA;129;L9_0.45_Dec22;2
130-rep2;sample;sample;NA;130;L10_0.45_Dec22;2
131-rep2;sample;sample;NA;131;L11_0.45_Dec22;2
132-rep2;sample;sample;NA;132;L12_0.45B_Dec22;2
133-rep2;sample;sample;NA;133;L12_0.45O_Dec22;2
134-rep2;sample;sample;NA;134;L12_0.45R_Dec22;2
135-rep2;negative_control;control;extraction;135;ctrl_0.45_Monthly_Dec22;2
136-rep2;sample;sample;NA;136;L1_0.45_Janv23;2
137-rep2;sample;sample;NA;137;L2_0.45B_Janv23;2
138-rep2;sample;sample;NA;138;L2_0.45O_Janv23;2
139-rep2;sample;sample;NA;139;L2_0.45R_Janv23;2
140-rep2;negative_control;control;extraction;140;ctrl_0.45_Monthly_Janv23;2
141-rep2;sample;sample;NA;141;L3_0.45_Janv23;2
142-rep2;sample;sample;NA;142;L4_0.45_Janv23;2
143-rep2;sample;sample;NA;143;L5_0.45_Janv23;2
144-rep2;sample;sample;NA;144;L6_0.45_Janv23;2
145-rep2;sample;sample;NA;145;L7_0.45_Janv23;2
146-rep2;sample;sample;NA;146;L8_0.45_Janv23;2
147-rep2;sample;sample;NA;147;L9_0.45_Janv23;2
148-rep2;sample;sample;NA;148;L10_0.45_Janv23;2
149-rep2;sample;sample;NA;149;L11_0.45_Janv23;2
150-rep2;sample;sample;NA;150;L12_0.45_Janv23;2
151-rep2;sample;sample;NA;151;L1_0.45_Feb23;2
152-rep2;sample;sample;NA;152;L2_0.45_Feb23;2
153-rep2;sample;sample;NA;153;L3_0.45_Feb23;2
154-rep2;sample;sample;NA;154;L4_0.45_Feb23;2
155-rep2;sample;sample;NA;155;L5_0.45_Feb23;2
156-rep2;sample;sample;NA;156;L6_0.45_Feb23;2
157-rep2;sample;sample;NA;157;L7_0.45B_Feb23;2
158-rep2;sample;sample;NA;158;L7_0.45O_Feb23;2
159-rep2;sample;sample;NA;159;L7_0.45R_Feb23;2
160-rep2;negative_control;control;extraction;160;ctrl_0.45_Monthly_Feb23;2
161-rep2;sample;sample;NA;161;L8_0.45_Feb23;2
162-rep2;sample;sample;NA;162;L9_0.45_Feb23;2
163-rep2;sample;sample;NA;163;L10_0.45_Feb23;2
164-rep2;sample;sample;NA;164;L11_0.45_Feb23;2
165-rep2;sample;sample;NA;165;L12_0.45_Feb23;2
166-rep2;sample;sample;NA;166;L1_0.45_March23;2
167-rep2;sample;sample;NA;167;L2_0.45_March23;2
168-rep2;sample;sample;NA;168;L3_0.45_March23;2
169-rep2;sample;sample;NA;169;L4_0.45B_March23;2
170-rep2;sample;sample;NA;170;L4_0.45O_March23;2
171-rep2;sample;sample;NA;171;L4_0.45R_March23;2
172-rep2;negative_control;control;extraction;172;ctrl_0.45_Monthly_March23;2
173-rep2;sample;sample;NA;173;L5_0.45_March23;2
174-rep2;sample;sample;NA;174;L6_0.45_March23;2
B01-rep2;blank;control;sequencing;B01;B01;2
B02-rep2;blank;control;sequencing;B02;B02;2
B03-rep2;blank;control;sequencing;B03;B03;2
B04-rep2;blank;control;sequencing;B04;B04;2
B05-rep2;blank;control;sequencing;B05;B05;2
B06-rep2;blank;control;sequencing;B06;B06;2
B07-rep2;blank;control;sequencing;B07;B07;2
B08-rep2;blank;control;sequencing;B08;B08;2
B09-rep2;blank;control;sequencing;B09;B09;2
B10-rep2;blank;control;sequencing;B10;B10;2
B11-rep2;blank;control;sequencing;B11;B11;2
B12-rep2;blank;control;sequencing;B12;B12;2
E00-rep2;extraction;control;extraction;E00;E00;2
E01-rep2;extraction;control;extraction;E01;E01;2
E02-rep2;extraction;control;extraction;E02;E02;2
E03-rep2;extraction;control;extraction;E03;E03;2
E04-rep2;extraction;control;extraction;E04;E04;2
E05-rep2;extraction;control;extraction;E05;E05;2
E06-rep2;extraction;control;extraction;E06;E06;2
E07-rep2;extraction;control;extraction;E07;E07;2
E08-rep2;extraction;control;extraction;E08;E08;2
E75-rep2;extraction;control;extraction;E75;E75;2
N01-rep2;negative_control;control;pcr;N01;N01;2
N02-rep2;negative_control;control;pcr;N02;N02;2
N03-rep2;negative_control;control;pcr;N03;N03;2
N04-rep2;negative_control;control;pcr;N04;N04;2
N05-rep2;negative_control;control;pcr;N05;N05;2
N06-rep2;negative_control;control;pcr;N06;N06;2
N07-rep2;negative_control;control;pcr;N07;N07;2
N08-rep2;negative_control;control;pcr;N08;N08;2
P01-rep2;positive_control;control;positive;P01;P01;2
P02-rep2;positive_control;control;positive;P02;P02;2
P03-rep2;positive_control;control;positive;P03;P03;2
P04-rep2;positive_control;control;positive;P04;P04;2
P05-rep2;positive_control;control;positive;P05;P05;2
P06-rep2;positive_control;control;positive;P06;P06;2
P07-rep2;positive_control;control;positive;P07;P07;2
P08-rep2;positive_control;control;positive;P08;P08;2
117-rep3;sample;sample;NA;117;L9_0.45_Nov22;3
118-rep3;sample;sample;NA;118;L10_0.45_Nov22;3
119-rep3;sample;sample;NA;119;L11_0.45_Nov22;3
120-rep3;sample;sample;NA;120;L12_0.45_Nov22;3
121-rep3;sample;sample;NA;121;L1_0.45_Dec22;3
122-rep3;sample;sample;NA;122;L2_0.45_Dec22;3
123-rep3;sample;sample;NA;123;L3_0.45_Dec22;3
124-rep3;sample;sample;NA;124;L4_0.45_Dec22;3
125-rep3;sample;sample;NA;125;L5_0.45_Dec22;3
126-rep3;sample;sample;NA;126;L6_0.45_Dec22;3
127-rep3;sample;sample;NA;127;L7_0.45_Dec22;3
128-rep3;sample;sample;NA;128;L8_0.45_Dec22;3
129-rep3;sample;sample;NA;129;L9_0.45_Dec22;3
130-rep3;sample;sample;NA;130;L10_0.45_Dec22;3
131-rep3;sample;sample;NA;131;L11_0.45_Dec22;3
132-rep3;sample;sample;NA;132;L12_0.45B_Dec22;3
133-rep3;sample;sample;NA;133;L12_0.45O_Dec22;3
134-rep3;sample;sample;NA;134;L12_0.45R_Dec22;3
135-rep3;negative_control;control;extraction;135;ctrl_0.45_Monthly_Dec22;3
136-rep3;sample;sample;NA;136;L1_0.45_Janv23;3
137-rep3;sample;sample;NA;137;L2_0.45B_Janv23;3
138-rep3;sample;sample;NA;138;L2_0.45O_Janv23;3
139-rep3;sample;sample;NA;139;L2_0.45R_Janv23;3
140-rep3;negative_control;control;extraction;140;ctrl_0.45_Monthly_Janv23;3
141-rep3;sample;sample;NA;141;L3_0.45_Janv23;3
142-rep3;sample;sample;NA;142;L4_0.45_Janv23;3
143-rep3;sample;sample;NA;143;L5_0.45_Janv23;3
144-rep3;sample;sample;NA;144;L6_0.45_Janv23;3
145-rep3;sample;sample;NA;145;L7_0.45_Janv23;3
146-rep3;sample;sample;NA;146;L8_0.45_Janv23;3
147-rep3;sample;sample;NA;147;L9_0.45_Janv23;3
148-rep3;sample;sample;NA;148;L10_0.45_Janv23;3
149-rep3;sample;sample;NA;149;L11_0.45_Janv23;3
150-rep3;sample;sample;NA;150;L12_0.45_Janv23;3
151-rep3;sample;sample;NA;151;L1_0.45_Feb23;3
152-rep3;sample;sample;NA;152;L2_0.45_Feb23;3
153-rep3;sample;sample;NA;153;L3_0.45_Feb23;3
154-rep3;sample;sample;NA;154;L4_0.45_Feb23;3
155-rep3;sample;sample;NA;155;L5_0.45_Feb23;3
156-rep3;sample;sample;NA;156;L6_0.45_Feb23;3
157-rep3;sample;sample;NA;157;L7_0.45B_Feb23;3
158-rep3;sample;sample;NA;158;L7_0.45O_Feb23;3
159-rep3;sample;sample;NA;159;L7_0.45R_Feb23;3
160-rep3;negative_control;control;extraction;160;ctrl_0.45_Monthly_Feb23;3
161-rep3;sample;sample;NA;161;L8_0.45_Feb23;3
162-rep3;sample;sample;NA;162;L9_0.45_Feb23;3
163-rep3;sample;sample;NA;163;L10_0.45_Feb23;3
164-rep3;sample;sample;NA;164;L11_0.45_Feb23;3
165-rep3;sample;sample;NA;165;L12_0.45_Feb23;3
166-rep3;sample;sample;NA;166;L1_0.45_March23;3
167-rep3;sample;sample;NA;167;L2_0.45_March23;3
168-rep3;sample;sample;NA;168;L3_0.45_March23;3
169-rep3;sample;sample;NA;169;L4_0.45B_March23;3
170-rep3;sample;sample;NA;170;L4_0.45O_March23;3
171-rep3;sample;sample;NA;171;L4_0.45R_March23;3
172-rep3;negative_control;control;extraction;172;ctrl_0.45_Monthly_March23;3
173-rep3;sample;sample;NA;173;L5_0.45_March23;3
174-rep3;sample;sample;NA;174;L6_0.45_March23;3
B01-rep3;blank;control;sequencing;B01;B01;3
B02-rep3;blank;control;sequencing;B02;B02;3
B03-rep3;blank;control;sequencing;B03;B03;3
B04-rep3;blank;control;sequencing;B04;B04;3
B05-rep3;blank;control;sequencing;B05;B05;3
B06-rep3;blank;control;sequencing;B06;B06;3
B07-rep3;blank;control;sequencing;B07;B07;3
B08-rep3;blank;control;sequencing;B08;B08;3
B09-rep3;blank;control;sequencing;B09;B09;3
B10-rep3;blank;control;sequencing;B10;B10;3
B11-rep3;blank;control;sequencing;B11;B11;3
B12-rep3;blank;control;sequencing;B12;B12;3
E00-rep3;extraction;control;extraction;E00;E00;3
E01-rep3;extraction;control;extraction;E01;E01;3
E02-rep3;extraction;control;extraction;E02;E02;3
E03-rep3;extraction;control;extraction;E03;E03;3
E04-rep3;extraction;control;extraction;E04;E04;3
E05-rep3;extraction;control;extraction;E05;E05;3
E06-rep3;extraction;control;extraction;E06;E06;3
E07-rep3;extraction;control;extraction;E07;E07;3
E08-rep3;extraction;control;extraction;E08;E08;3
E75-rep3;extraction;control;extraction;E75;E75;3
N01-rep3;negative_control;control;pcr;N01;N01;3
N02-rep3;negative_control;control;pcr;N02;N02;3
N03-rep3;negative_control;control;pcr;N03;N03;3
N04-rep3;negative_control;control;pcr;N04;N04;3
N05-rep3;negative_control;control;pcr;N05;N05;3
N06-rep3;negative_control;control;pcr;N06;N06;3
N07-rep3;negative_control;control;pcr;N07;N07;3
N08-rep3;negative_control;control;pcr;N08;N08;3
P01-rep3;positive_control;control;positive;P01;P01;3
P02-rep3;positive_control;control;positive;P02;P02;3
P03-rep3;positive_control;control;positive;P03;P03;3
P04-rep3;positive_control;control;positive;P04;P04;3
P05-rep3;positive_control;control;positive;P05;P05;3
P06-rep3;positive_control;control;positive;P06;P06;3
P07-rep3;positive_control;control;positive;P07;P07;3
P08-rep3;positive_control;control;positive;P08;P08;3
